contract,path,complexity_score
PricingStrategy,contracts/tokenmarketnet/contracts/PricingStrategy.sol,0.13372
Ownable2Step,contracts/Ownable2Step.sol,0.13544
ProxyAdmin,contracts/ProxyAdmin.sol,0.13608
ExposedAdminList,contracts/permissioning/contracts/ExposedAdminList.sol,0.14164
AuthorizedExecutor,contracts/EIP7702/AuthorizedExecutor.sol,0.14216
AllowlistDraggableFactory,contracts/utils/factory/AllowlistDraggableFactory.sol,0.14224
ERC20PermitLight,contracts/ERC20/ERC20PermitLight.sol,0.14283
OfferFactory,contracts/draggable/OfferFactory.sol,0.14304
IOffer,contracts/draggable/IOffer.sol,0.1452
AMLToken,contracts/tokenmarketnet/contracts/AMLToken.sol,0.14904
IntentHash,contracts/market/IntentHash.sol,0.15036
AllocatedCrowdsaleMixin,contracts/tokenmarketnet/contracts/AllocatedCrowdsaleMixin.sol,0.15084
GovernorBravoDelegator,contracts/compound/contracts/Governance/GovernorBravoDelegator.sol,0.1516
ExposedNodeRulesList,contracts/permissioning/contracts/ExposedNodeRulesList.sol,0.15296
IRecoveryHub,contracts/recovery/IRecoveryHub.sol,0.15336
BytesLib,contracts/utils/BytesLib.sol,0.1566
IBrokerbot,contracts/brokerbot/IBrokerbot.sol,0.15688
BytesDeserializer,contracts/tokenmarketnet/contracts/BytesDeserializer.sol,0.15724
SecondaryMarketFactory,contracts/market/SecondaryMarketFactory.sol,0.1578
IAccessControl,contracts/IAccessControl.sol,0.15892
UncappedCrowdsale,contracts/tokenmarketnet/contracts/UncappedCrowdsale.sol,0.16036
IERC20Permit,contracts/ERC20/IERC20Permit.sol,0.1652
UniswapV2Factory,contracts/uniswap/UniswapV2Factory.sol,0.16633
UniswapV2Migrator,contracts/uniswapv2_periphery/UniswapV2Migrator.sol,0.1684
ErrorReporter,contracts/compound/contracts/ErrorReporter.sol,0.17144
AllowlistShares,contracts/shares/AllowlistShares.sol,0.17256
BonusFinalizeAgent,contracts/tokenmarketnet/contracts/BonusFinalizeAgent.sol,0.1744
ERC20Cancelled,contracts/draggable/ERC20Cancelled.sol,0.17488
MintedTokenCappedCrowdsale,contracts/tokenmarketnet/contracts/MintedTokenCappedCrowdsale.sol,0.17636
MintedEthCappedCrowdsale,contracts/tokenmarketnet/contracts/MintedEthCappedCrowdsale.sol,0.17636
BrokerbotFactory,contracts/utils/factory/BrokerbotFactory.sol,0.17724
ExtraFinalizeAgent,contracts/tokenmarketnet/contracts/ExtraFinalizeAgent.sol,0.17856
